Player,Value
Ato Ampah,0.0
João Félix,20.0
João Pedro,50.0
Nicolas Jackson,50.0
Liam Delap,40.0
Christopher Nkunku,35.0
Deivid Washington,8.0
Marc Guiu,8.0
David Datro Fofana,6.0
Shumaira Mheuka,0.8
Ederson,20.0
Stefan Ortega,8.0
Scott Carson,0.1
Spike Brits,0.0
Max Hudson,0.0
Josko Gvardiol,75.0
Rúben Dias,65.0
Abdukodir Khusanov,35.0
Vitor Reis,30.0
Manuel Akanji,28.0
John Stones,25.0
Nathan Aké,25.0
Jahmai Simpson-Pusey,5.0
Max Alleyne,0.5
Kaden Braithwaite,0.0
Rayan Aït-Nouri,35.0
Josh Wilson-Esbrand,4.0
Rico Lewis,40.0
Kyle Walker,4.0
Issa Kaboré,4.0
Rodri,110.0
Kalvin Phillips,12.0
Jacob Wright,0.8
Tijjani Reijnders,60.0
Nico González,40.0
Matheus Nunes,35.0
Mateo Kovacic,20.0
Nico O'Reilly,18.0
İlkay Gündoğan,5.0
Bernardo Silva,38.0
Kevin De Bruyne,20.0
James McAtee,20.0
Claudio Echeverri,18.0
Jérémy Doku,50.0
Jack Grealish,28.0
Phil Foden,100.0
Savinho,50.0
Rayan Cherki,45.0
Oscar Bobb,25.0
Farid Alfa-Ruprecht,0.0
Erling Haaland,180.0
Omar Marmoush,75.0
Divin Mubama,4.0
Alisson,20.0
Caoimhín Kelleher,20.0
Vitezslav Jaros,4.0
Harvey Davies,0.5
Ibrahima Konaté,60.0
Virgil van Dijk,23.0
Joe Gomez,20.0
Jarell Quansah,20.0
Amara Nallo,1.0
Konstantinos Tsimikas,18.0
Andrew Robertson,18.0
James Norris,0.15
Trent Alexander-Arnold,75.0
Conor Bradley,30.0
Isaac Mabaya,0.0
Ryan Gravenberch,75.0
Wataru Endo,8.0
Tyler Morton,7.0
Alexis Mac Allister,100.0
Curtis Jones,45.0
Trey Nyoni,4.5
James McConnell,2.0
Dominik Szoboszlai,80.0
Harvey Elliott,30.0
Kieran Morrison,0.0
Luis Díaz,70.0
Cody Gakpo,70.0
Diogo Jota,40.0
Trent Kone-Doherty,0.0
Rio Ngumoha,0.0
Mohamed Salah,50.0
Federico Chiesa,14.0
Ranel Young,0.0
Darwin Núñez,45.0
Jayden Danns,0.8
Guglielmo Vicario,32.0
Antonín Kinský,15.0
Fraser Forster,1.0
Brandon Austin,0.6
Alfie Whiteman,0.5
Cristian Romero,50.0
Micky van de Ven,50.0
Kevin Danso,25.0
Radu Drăgușin,25.0
Ben Davies,6.0
Alfie Dorrington,0.7
Dante Cassanova,0.0
Maeson King,0.0
Malachi Hardy,0.0
Destiny Udogie,40.0
Djed Spence,20.0
Sergio Reguilón,6.0
Pedro Porro,38.0
Archie Gray,38.0
Rodrigo Bentancur,30.0
Yves Bissouma,25.0
Lucas Bergvall,38.0
Pape Matar Sarr,32.0
Callum Olusesi,0.5
Rio Kyerematen,0.0
Dejan Kulusevski,50.0
James Maddison,42.0
Alfie Devine,3.5
Lucá Williams-Barnett,0.0
Brennan Johnson,40.0
Heung-min Son,20.0
Wilson Odobert,20.0
Mikey Moore,18.0
Timo Werner,7.0
Min-hyeok Yang,3.5
Damola Ajayi,0.0
Dominic Solanke,40.0
Mathys Tel,35.0
Richarlison,20.0
Will Lankshear,3.0
Dane Scarlett,2.0
André Onana,25.0
Altay Bayındır,8.0
Tom Heaton,0.2
Dermot Mee,0.0
Hubert Graczyk,0.0
Elyh Harrison,0.0
Will Murdock,0.0
Leny Yoro,55.0
Lisandro Martínez,40.0
Matthijs de Ligt,38.0
Harry Maguire,13.0
Victor Lindelöf,8.0
Tyler Fredricson,3.0
Jonny Evans,1.0
Godwill Kukonki,0.0
Patrick Dorgu,25.0
Luke Shaw,12.0
Tyrell Malacia,8.0
Harry Amass,5.0
Diogo Dalot,30.0
Noussair Mazraoui,25.0
Habeeb Ogunneye,0.0
Jaydan Kamason,0.0
Manuel Ugarte,45.0
Casemiro,10.0
Toby Collyer,5.0
Sékou Koné,0.0
Scott McTominay,50.0
Kobbie Mainoo,50.0
Daniel Gore,0.8
Jack Moorhouse,0.0
Jayce Fitzgerald,0.0
Bruno Fernandes,50.0
Mason Mount,28.0
Christian Eriksen,4.0
Jack Fletcher,0.0
Marcus Rashford,50.0
Alejandro Garnacho,45.0
James Scanlon,0.0
Amad Diallo,45.0
Antony,35.0
Facundo Pellistri,8.0
Bendito Mantato,0.0
Rasmus Højlund,35.0
Joshua Zirkzee,30.0
Chido Obi,5.0
Ethan Wheatley,0.0
Nick Pope,8.0
Odysseas Vlachodimos,5.0
Martin Dúbravka,1.0
Mark Gillespie,0.2
John Ruddy,0.15
Sven Botman,42.0
Lloyd Kelly,16.0
Fabian Schär,7.0
Dan Burn,6.0
Jamaal Lascelles,4.0
Lewis Hall,32.0
Matt Targett,5.0
Jamal Lewis,2.5
Alex Murphy,0.3
Tino Livramento,40.0
Kieran Trippier,4.0
Emil Krafth,2.0
Harrison Ashby,1.4
Leo Shahar,0.0
Bruno Guimarães,80.0
Isaac Hayden,0.7
Sandro Tonali,60.0
Joelinton,35.0
Joe Willock,22.0
Lewis Miley,22.0
Sean Longstaff,20.0
Joe White,0.275
Anthony Gordon,65.0
Harvey Barnes,35.0
Trevan Sanusi,0.0
Jacob Murphy,16.0
Miguel Almirón,10.0
Alexander Isak,120.0
Callum Wilson,8.0
William Osula,7.0
Sean Neave,0.0
Matz Sels,7.0
Carlos Miguel,4.0
Matt Turner,2.5
Wayne Hennessey,0.15
Murillo,55.0
Nikola Milenković,35.0
Morato,14.0
Andrew Omobamidele,8.0
Willy Boly,1.5
Tyler Bindon,1.2
Zach Abbott,0.3
Neco Williams,20.0
Álex Moreno,7.0
Harry Toffolo,3.0
Ola Aina,22.0
Eric da Silva Moreira,1.0
Danilo,28.0
Ibrahim Sangaré,24.0
Ben Perry,0.15
Elliot Anderson,32.0
Nicolás Domínguez,18.0
Ryan Yates,12.0
James Ward-Prowse,8.0
Lewis O'Brien,4.0
Morgan Gibbs-White,50.0
Callum Hudson-Odoi,25.0
Ramón Sosa,12.0
Anthony Elanga,42.0
Jota Silva,15.0
Josh Bowler,1.0
Taiwo Awoniyi,16.0
Chris Wood,10.0
Emmanuel Dennis,2.5
Emiliano Martínez,20.0
Joe Gauci,1.5
Robin Olsen,1.0
Oliwier Zych,0.8
Sam Proctor,0.0
Ezri Konsa,35.0
Pau Torres,32.0
Diego Carlos,9.5
Lamare Bogarde,6.0
Tyrone Mings,5.0
Kortney Hause,1.0
Sil Swinkels,0.15
Ian Maatsen,28.0
Lucas Digne,10.0
Travis Patterson,0.0
Matty Cash,25.0
Kosta Nedeljkovic,10.0
Andrés García,7.0
Triston Rowe,0.0
Amadou Onana,50.0
Boubacar Kamara,40.0
Youri Tielemans,38.0
Jacob Ramsey,32.0
John McGinn,16.0
Ross Barkley,6.0
Aidan Borland,0.0
Morgan Rogers,55.0
Marco Asensio,20.0
Emiliano Buendía,15.0
Jamaldeen Jimoh-Aloba,0.3
Bradley Burrowes,0.0
Jaden Philogene,16.0
Kadan Young,0.3
Ben Broggio,0.0
Leon Bailey,28.0
Donyell Malen,25.0
Ollie Watkins,40.0
Jhon Durán,35.0
Kobei Moore,0.0
Bart Verbruggen,30.0
Carl Rushworth,3.0
Jason Steele,1.5
Tom McGill,0.6
Killian Cahill,0.15
Jan Paul van Hecke,32.0
Igor Julio,20.0
Adam Webster,11.0
Eiran Cashin,8.0
Lewis Dunk,6.0
Ruairi McConville,1.8
Ed Turns,0.35
Freddie Simmonds,0.0
Pervis Estupiñán,30.0
Ferdi Kadıoğlu,25.0
Jacob Slater,0.2
Imari Samuels,0.1
Tariq Lamptey,11.0
Joël Veltman,4.0
Odeluga Offiah,0.6
Charlie Tasker,0.2
Carlos Baleba,40.0
Mats Wieffer,25.0
Jack Hinshelwood,24.0
Billy Gilmour,20.0
Yasin Ayari,22.0
Matt O'Riley,22.0
Malick Yalcouyé,17.0
Diego Gómez,14.0
Jakub Moder,12.0
Valentín Barco,12.0
James Milner,1.0
Jensen Weir,0.35
Joe Knight,0.0
Julio Enciso,22.0
Harry Howell,0.0
Kaoru Mitoma,40.0
Simon Adingra,28.0
Jeremy Sarmiento,7.0
Cameron Peupion,0.225
Yankuba Minteh,30.0
Brajan Gruda,25.0
Solly March,6.0
Amario Cozier-Duberry,2.0
Georginio Rutter,32.0
Evan Ferguson,25.0
Danny Welbeck,5.0
Mark O'Mahony,0.5
Dean Henderson,20.0
Sam Johnstone,6.0
Joe Whitworth,1.7
Remi Matthews,0.4
Marc Guéhi,45.0
Joachim Andersen,27.0
Maxence Lacroix,25.0
Chadi Riad,15.0
Chris Richards,14.0
Rob Holding,3.5
Tyrick Mitchell,25.0
Daniel Muñoz,25.0
Nathaniel Clyne,1.0
Caleb Kporha,1.0
Joel Ward,0.5
Adam Wharton,45.0
Cheick Doucouré,25.0
Jefferson Lerma,10.0
David Ozoh,0.7
Kaden Rodney,0.2
Will Hughes,7.0
Naouirou Ahamada,3.5
Jeffrey Schlupp,3.0
Eberechi Eze,55.0
Daichi Kamada,12.0
Matheus França,10.0
Justin Devenny,6.0
Asher Agbinone,0.075
Ismaïla Sarr,25.0
Romain Esse,12.0
Malcolm Ebiowei,1.2
Franco Umeh-Chibueze,0.075
Jean-Philippe Mateta,30.0
Odsonne Édouard,8.0
Jordan Ayew,2.5
Zach Marsh,0.0
Mark Flekken,10.0
Hákon Valdimarsson,2.5
Matthew Cox,0.8
Ben Winterbottom,0.0
Julian Eyestone,0.0
Nathan Collins,28.0
Sepp van den Berg,22.0
Kristoffer Ajer,18.0
Ethan Pinnock,7.0
Ben Mee,0.7
Ji-soo Kim,0.6
Benjamin Fredrick,0.15
Benjamin Arthur,0.0
Rico Henry,15.0
Jayden Meghoma,0.5
Michael Kayode,18.0
Aaron Hickey,10.0
Mads Roerslev,6.0
Vitaly Janelt,20.0
Christian Nørgaard,11.0
Yunus Konak,4.5
Yegor Yarmolyuk,15.0
Mathias Jensen,14.0
Frank Onyeka,7.0
Josh Dasilva,5.0
Paris Maghoma,0.8
Ryan Trevitt,0.275
Mikkel Damsgaard,28.0
Fábio Carvalho,14.0
Myles Peart-Harris,0.9
Kevin Schade,30.0
Keane Lewis-Potter,23.0
Gustavo Nunes,10.0
Tony Yogane,0.125
Bryan Mbeumo,55.0
Yoane Wissa,32.0
Igor Thiago,18.0
Iwan Morgan,0.0
Kepa Arrizabalaga,10.0
Mark Travers,4.0
Callan McKenna,0.6
Will Dennis,0.35
Dean Huijsen,60.0
Ilya Zabarnyi,42.0
Marcos Senesi,22.0
Chris Mepham,6.0
James Hill,3.0
Matai Akinmboni,1.0
Max Kinsey,0.0
Milos Kerkez,45.0
Julio Soler,8.0
Archie Harris,0.1
Julián Araujo,10.0
Max Aarons,6.0
Adam Smith,0.75
Tyler Adams,18.0
Ben Winterburn,0.5
Alex Scott,20.0
Lewis Cook,15.0
Philip Billing,10.0
Ryan Christie,10.0
Marcus Tavernier,18.0
Justin Kluivert,35.0
Dango Ouattara,28.0
Hamed Traoré,20.0
Luis Sinisterra,15.0
Jaidon Anthony,9.0
Zain Silcott-Duberry,0.2
Antoine Semenyo,40.0
David Brooks,10.0
Dominic Sadi,0.15
Evanilson,35.0
Enes Ünal,10.0
Daniel Jebbison,4.0
Remy Rees-Dottin,0.3
Daniel Adu-Adjei,0.15
Alphonse Areola,9.0
Wes Foderingham,0.6
Lukasz Fabianski,0.5
Jean-Clair Todibo,25.0
Maximilian Kilman,25.0
Konstantinos Mavropanos,17.0
Kaelan Casey,1.0
Ezra Mayers,0.0
Emerson,10.0
Oliver Scarles,8.0
Aaron Cresswell,0.5
Aaron Wan-Bissaka,24.0
Vladimír Coufal,5.0
Edson Álvarez,25.0
Tomáš Souček,18.0
Guido Rodríguez,10.0
Carlos Soler,18.0
Andrew Irving,4.0
Lewis Orford,0.4
Lucas Paquetá,28.0
Crysencio Summerville,22.0
Mohammed Kudus,45.0
Jarrod Bowen,40.0
Luis Guilherme,15.0
Niclas Füllkrug,10.0
Danny Ings,6.0
Michail Antonio,0.7
Jordan Pickford,18.0
João Virgínia,0.8
Asmir Begovic,0.25
Zan Luk Leban,0.15
Jarrad Branthwaite,50.0
Jake O'Brien,18.0
James Tarkowski,9.0
Michael Keane,5.0
Mason Holgate,4.0
Reece Welch,0.35
Bradley Moonan,0.0
Vitaliy Mykolenko,28.0
Nathan Patterson,15.0
Ashley Young,0.5
Séamus Coleman,0.5
Roman Dixon,0.2
Orel Mangala,18.0
James Garner,18.0
Idrissa Gueye,1.5
Luke Butterfield,0.0
Carlos Alcaraz,14.0
Tim Iroegbunam,9.0
Harrison Armstrong,0.8
Jenson Metcalfe,0.175
Callum Bates,0.0
Abdoulaye Doucouré,7.0
Owen Barker,0.0
Dwight McNeil,25.0
Jack Harrison,14.0
Isaac Heath,0.0
Coby Ebere,0.0
Iliman Ndiaye,22.0
Jesper Lindstrøm,18.0
Beto,22.0
Dominic Calvert-Lewin,16.0
Armando Broja,12.0
Neal Maupay,8.0
Youssef Chermiti,8.0
Martin Sherif,0.0
Bernd Leno,10.0
Steven Benda,1.0
Calvin Bassey,25.0
Issa Diop,14.0
Jorge Cuenca,5.0
Sam Amissah,0.0
Antonee Robinson,35.0
Ryan Sessegnon,15.0
Kenny Tete,13.0
Timothy Castagne,13.0
Sander Berge,25.0
Saša Lukić,14.0
Harrison Reed,6.0
Tom Cairney,1.5
Josh King,1.0
Emile Smith Rowe,30.0
Andreas Pereira,18.0
Alex Iwobi,28.0
Willian,0.75
Martial Godo,0.6
Harry Wilson,15.0
Adama Traoré,9.0
Rodrigo Muniz,20.0
Jay Stansfield,11.0
Raúl Jiménez,5.0
Carlos Vinícius,3.5
José Sá,7.0
Daniel Bentley,1.5
Tom King,0.2
Toti,28.0
Emmanuel Agbadou,20.0
Santiago Bueno,10.0
Nasser Djiga,10.0
Yerson Mosquera,8.0
Bastien Meupiyou,2.5
Craig Dawson,1.5
Alfie Pond,0.25
Rodrigo Gomes,15.0
Nélson Semedo,9.0
Pedro Lima,5.0
Matt Doherty,2.0
Wesley Okoduwa,0.0
André,28.0
Mario Lemina,7.5
Boubacar Traoré,5.0
Joe Hodge,1.0
Luke Rawlings,0.0
João Gomes,40.0
Jean-Ricner Bellegarde,18.0
Marshall Munetsi,15.0
Tommy Doyle,10.0
Luke Cundle,3.2
Chem Campbell,0.9
Tawanda Chirewa,0.5
Gonçalo Guedes,11.0
Carlos Forbs,8.0
Daniel Podence,5.5
Enso González,4.0
Chiquinho,2.0
Pablo Sarabia,5.0
Tom Edozie,0.0
Matheus Cunha,60.0
Jørgen Strand Larsen,30.0
Hee-chan Hwang,12.0
Sasa Kalajdzic,4.0
Leon Chiwome,0.7
Nathan Fraser,0.6
Mateus Mané,0.2
Illan Meslier,16.0
Karl Darlow,0.2
Alex Cairns,0.1
Ethan Ampadu,20.0
Pascal Struijk,18.0
Joe Rodon,10.0
Maximilian Wöber,8.0
James Debayo,0.0
Junior Firpo,8.0
Sam Byram,0.8
Jayden Bogle,9.0
Isaac Schmidt,2.2
Ilia Gruev,5.0
Josuha Guilavogui,0.3
Charlie Crew,0.15
Ao Tanaka,10.0
Darko Gyabi,1.8
Joe Rothwell,1.8
Brenden Aaronson,15.0
Sam Chambers,0.2
Manor Solomon,14.0
Largie Ramazani,7.5
Wilfried Gnonto,22.0
Daniel James,18.0
Joël Piroe,18.0
Mateo Joseph,3.5
Joe Gelhardt,3.0
Patrick Bamford,2.0
Harry Gray,0.5
Gavin Bazunu,9.0
Joe Lumley,0.5
Alex McCarthy,0.35
Taylor Harwood-Bellis,22.0
Jan Bednarek,9.0
Armel Bella-Kotchap,9.0
Ronnie Edwards,3.8
Nathan Wood,3.5
Jack Stephens,1.5
Joachim Kayi Sanda,1.5
Jayden Moore,0.0
Juan Larios,3.5
Ryan Manning,3.0
Welington,3.0
Charlie Taylor,2.2
Kyle Walker-Peters,15.0
Yukinari Sugawara,11.0
James Bree,2.5
Lesley Ugochukwu,18.0
Flynn Downes,13.0
Shea Charles,10.0
Mateus Fernandes,15.0
Joe Aribo,6.0
Will Smallbone,6.0
Joe O'Brien-Whitmarsh,0.3
Romeo Akachukwu,0.15
Albert Grønbæk,11.0
Adam Lallana,0.75
Kamaldeen Sulemana,13.0
Maxwel Cornet,8.0
Samuel Edozie,6.0
Ryan Fraser,2.0
Jay Robinson,0.0
Tyler Dibling,25.0
Samuel Amo-Ameyaw,4.0
Adam Armstrong,12.0
Cameron Archer,12.0
Ben Brereton Díaz,7.5
Paul Onuachu,6.0
Ross Stewart,4.0
Arijanet Murić,5.0
Christian Walton,1.0
Alex Palmer,1.0
Cieran Slicker,0.3
Jacob Greaves,18.0
Dara O'Shea,14.0
Ben Godfrey,6.0
Luke Woolfenden,2.0
Cameron Burgess,2.0
George Edmundson,0.8
Leif Davis,22.0
Conor Townsend,0.8
Somto Boniface,0.0
Ben Johnson,8.0
Axel Tuanzebe,5.0
Harry Clarke,4.5
Jens Cajuste,12.0
Jack Taylor,3.0
Sam Morsy,0.5
Massimo Luongo,0.4
Wes Burns,2.0
Omari Hutchinson,22.0
Sammie Szmodics,10.0
Marcus Harness,0.8
Jack Clarke,15.0
Nathan Broadhead,4.5
Chiedozie Ogbene,7.0
Conor Chaplin,6.0
George Hirst,4.0
Ali Al-Hamadi,2.5
Tom Taylor,0.0
Mads Hermansen,15.0
Daniel Iversen,2.5
Danny Ward,1.2
Jakub Stolarczyk,1.0
Wout Faes,15.0
Caleb Okoli,10.0
Harry Souttar,6.0
Conor Coady,2.2
Jannik Vestergaard,2.0
Ben Nelson,0.5
Tom Wilson-Brown,0.0
Victor Kristiansen,15.0
Luke Thomas,6.0
James Justin,13.0
Ricardo Pereira,4.5
Woyo Coulibaly,2.0
Olabade Aluko,0.0
Wilfred Ndidi,15.0
Boubakary Soumaré,12.0
Oliver Skipp,10.0
Hamza Choudhury,4.5
Sammy Braybrooke,0.3
Harry Winks,9.0
Michael Golding,2.0
Henry Cartwright,0.0
Bilal El Khannouss,28.0
Facundo Buonanotte,20.0
Will Alves,0.4
Stephy Mavididi,10.0
Jeremy Monga,0.0
Issahaku Fatawu,11.0
Bobby De Cordova-Reid,2.5
Kasey McAteer,2.0
Jake Evans,0.15
Tom Cannon,10.0
Patson Daka,9.0
Jamie Vardy,1.0
Chris Popov,0.1
